n	serd-pipe	rapper	riot
1000000	833333	121654	87796
2000000	843881	119189	130804
3000000	835654	115651	150602
4000000	852878	116482	169348
5000000	863557	112309	174703
6000000	845070	113981	182592
7000000	838323	112377	190891
8000000	854700	110314	193143
9000000	837209	112107	205198
10000000	829875	111321	203252
