n	serd-pipe	rapper	riot
1000000	1634304.0	492728320.0	589537280.0
2000000	1523712.0	972505088.0	750370816.0
3000000	1409024.0	1450397696.0	905318400.0
4000000	1556480.0	1926307840.0	772521984.0
5000000	1585152.0	2403586048.0	948658176.0
6000000	1581056.0	2877878272.0	948121600.0
7000000	1622016.0	3351150592.0	957530112.0
8000000	1527808.0	3821490176.0	950579200.0
9000000	1531904.0	4294303744.0	949751808.0
10000000	1687552.0	4764184576.0	977002496.0
